timestamp, memory[node1]:1, memory[node2]:1, memory[node3]:1, memory[node4]:1, memory[node5]:1
1442895397000,1403.613184,1264.390144,1458.434048,1446.449152,1076.61312
1442895457000,1385.140224,1252.12672,1459.044352,1446.813696,1072.90624
1442895517000,1376.874496,1238.695936,1463.943168,1446.854656,1077.600256
1442895577000,1374.240768,1226.145792,1451.606016,1445.265408,1076.547584
1442895637000,1367.085056,1211.097088,1450.7008,1447.297024,1085.837312
1442895697000,1378.947072,1205.116928,1455.198208,1449.447424,1098.702848
1442895757000,1372.745728,1217.523712,1457.287168,1451.413504,1101.635584
1442895818000,1367.801856,1207.312384,1454.682112,1453.703168,1116.5696
1442895878000,1375.903744,1189.371904,1450.295296,1454.481408,1135.755264
1442895938000,1391.32928,1181.12256,1442.312192,1450.385408,1139.625984
1442895998000,1397.325824,1176.45312,1446.088704,1457.020928,1132.478464
1442896058000,1379.905536,1178.886144,1461.12512,1456.488448,1124.773888
1442896118000,1365.377024,1187.934208,1458.479104,1457.283072,1126.187008
1442896178000,1345.08544,1200.082944,1457.266688,1460.174848,1121.312768
1442896239000,1335.681024,1202.925568,1454.784512,1464.635392,1126.612992
1442896299000,1321.136128,1194.889216,1444.98688,1471.451136,1139.519488
1442896359000,1322.51648,1202.966528,1441.03424,1475.158016,1130.708992
1442896419000,1302.781952,1190.158336,1418.543104,1527.27552,1114.882048
1442896479000,1300.811776,1197.514752,1396.310016,1528.066048,1126.21568
1442896539000,1304.764416,1206.382592,1352.830976,1540.79232,1135.210496
1442896599000,1311.014912,1222.340608,1301.303296,1551.249408,1143.148544
1442896659000,1314.308096,1225.875456,1286.73792,1554.059264,1152.540672
1442896719000,1316.306944,1228.337152,1281.39264,1552.809984,1151.492096
1442896779000,1318.608896,1233.08032,1279.238144,1550.381056,1152.262144
1442896839000,1318.981632,1234.075648,1270.800384,1548.025856,1157.533696
1442896899000,1318.961152,1233.051648,1266.843648,1547.812864,1162.0352
1442896959000,1320.972288,1228.77952,1258.360832,1551.937536,1163.493376
1442897019000,1323.618304,1223.487488,1260.1344,1551.368192,1164.537856
1442897079000,1311.412224,1231.335424,1250.787328,1552.216064,1168.093184
1442897139000,1310.113792,1230.712832,1240.10496,1553.281024,1169.973248
1442897199000,1311.440896,1229.811712,1232.871424,1556.574208,1173.684224
1442897259000,1314.451456,1230.401536,1224.531968,1562.206208,1177.88672
1442897319000,1316.298752,1234.771968,1225.904128,1558.573056,1181.032448
1442897379000,1318.719488,1233.453056,1213.517824,1556.246528,1179.037696
1442897439000,1323.487232,1230.856192,1204.322304,1556.127744,1179.111424
1442897499000,1322.983424,1229.856768,1197.277184,1559.851008,1182.244864
1442897559000,1322.88512,1231.27808,1191.120896,1576.697856,1180.229632
1442897619000,1321.49248,1229.258752,1176.358912,1567.203328,1195.999232
1442897679000,1325.953024,1239.916544,1170.78016,1555.734528,1193.92256
1442897739000,1322.479616,1248.575488,1165.185024,1555.439616,1195.728896
1442897799000,1317.224448,1245.978624,1196.806144,1564.123136,1191.399424
1442897859000,1331.412992,1240.272896,1190.137856,1566.089216,1200.115712
1442897919000,1331.245056,1242.750976,1184.391168,1560.346624,1209.675776
1442897979000,1330.880512,1258.119168,1188.397056,1551.966208,1212.424192
1442898039000,1331.970048,1271.410688,1198.665728,1536.987136,1207.320576
1442898099000,1335.529472,1272.008704,1197.264896,1533.718528,1217.646592
1442898159000,1340.735488,1272.500224,1196.535808,1525.518336,1230.057472
1442898219000,1343.725568,1278.828544,1200.529408,1516.70784,1231.941632
1442898279000,1363.439616,1277.042688,1195.962368,1511.182336,1232.093184
1442898339000,1367.51104,1273.97888,1196.249088,1510.25664,1238.95808
1442898399000,1363.623936,1285.091328,1208.840192,1509.72416,1237.086208
1442898459000,1365.495808,1285.689344,1214.906368,1501.671424,1237.602304
1442898519000,1356.517376,1352.06912,1208.81152,1468.039168,1240.653824
1442898579000,1361.424384,1355.067392,1206.554624,1451.368448,1242.099712
